Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Cadence,Max Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,02/04/2017 09:31,FALSE,Dun Laoghaire Running,7.21,510,49:36:00,154,182,3.8,163,255,06:53,03:26,166,230,0.89,0,8.4,277,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,05/03/2017 09:43,FALSE,Dun Laoghaire Running,9.45,673,57:07:00,166,187,5,172,220,06:03,04:16,219,156,0.96,0,7.5,261,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,05/03/2017 09:25,FALSE,Dun Laoghaire Running,2.53,141,11:49,161,176,2.9,180,187,04:41,04:12,--,62,1.19,0,7.7,239,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,19/02/2017 11:14,FALSE,Dun Laoghaire Running,8.51,594,50:24:00,161,187,4.6,175,231,05:55,01:36,172,170,0.96,0,7.7,252,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,05/02/2017 09:27,FALSE,Dun Laoghaire Running,10.35,680,58:16:00,162,185,4.9,177,187,05:38,04:06,182,182,1,0,7.4,254,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,22/01/2017 09:34,FALSE,Dun Laoghaire Running,8.32,511,44:52:00,164,183,5,182,197,05:24,04:04,87,19,1.02,0,7.1,247,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,15/01/2017 10:53,FALSE,Dun Laoghaire Running,13.69,905,01:25:07,158,182,4.3,163,255,06:13,04:31,150,234,0.98,0,8.4,274,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,13/01/2017 09:37,FALSE,Dun Laoghaire Running,4.84,441,39:03:00,161,188,4.4,142,255,08:04,04:02,179,144,0.87,0,6.2,288,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,07/01/2017 15:45,FALSE,Dun Laoghaire Running,8.07,535,44:55:00,162,177,4.8,174,184,05:34,02:51,97,86,1.03,0,7.7,253,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,31/12/2016 15:49,FALSE,Birr Running,11.09,779,01:08:16,160,177,4.6,159,182,06:09,04:53,81,74,1.02,0,8.5,292,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,18/12/2016 09:09,FALSE,Dun Laoghaire Running,7.48,524,42:39:00,166,182,4.7,175,187,05:42,03:55,77,22,1,0,7.7,254,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,25/11/2016 15:42,FALSE,Dun Laoghaire Running,6.28,448,35:16:00,170,187,4.7,168,191,05:37,04:14,34,--,1.06,0,7.9,267,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,21/10/2016 06:48,FALSE,Makali Running,5.91,440,38:40:00,157,170,3.5,158,200,06:32,04:13,36,34,0.97,0,8.8,276,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,07/10/2016 17:16,FALSE,Running,10.1,732,56:59:00,171,190,5,178,191,05:39,03:46,178,178,1,0,7.3,258,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,02/10/2016 07:36,FALSE,Dun Laoghaire Running,7.52,495,40:40:00,165,181,3.7,181,192,05:24,03:51,84,107,1.02,0,7,256,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,18/09/2016 17:05,FALSE,Chicago Running,11.88,813,01:06:14,166,178,4.8,168,255,05:35,00:50,2,4,1.07,0,8,260,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,14/09/2016 19:24,FALSE,Bray Running,12.54,919,01:14:46,167,184,5,158,234,05:58,03:37,245,236,1.06,0,8.9,269,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,11/09/2016 08:05,FALSE,Dun Laoghaire Running,7.06,464,37:38:00,165,186,3.9,181,194,05:20,02:27,118,120,1.04,0,6.9,256,--,90,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,07/09/2016 19:05,FALSE,Dun Laoghaire Running,12.39,926,01:16:01,168,190,5,162,231,06:08,03:53,284,285,1.01,0,8.7,276,--,80,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,05/09/2016 18:29,FALSE,Dun Laoghaire Running,8.14,561,44:05:00,169,188,5,174,184,05:25,02:47,141,142,1.06,0,7.7,268,--,86,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,31/08/2016 19:21,FALSE,Dun Laoghaire Running,10.14,706,56:53:00,168,184,5,166,188,05:37,01:55,180,181,1.07,0,8.4,276,--,82,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,24/08/2016 17:44,FALSE,Dun Laoghaire Running,8.35,544,43:53:00,167,184,4.6,171,187,05:15,02:34,169,162,1.11,0,8.2,252,--,85,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,22/08/2016 18:29,FALSE,Dun Laoghaire Running,8.12,548,44:31:00,164,183,4.7,174,187,05:29,04:19,147,147,1.05,0,7.7,252,--,87,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,14/08/2016 17:31,FALSE,Dun Laoghaire Running,8.15,518,44:46:00,160,184,4,177,188,05:30,03:43,145,146,1.03,0,7,269,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,07/08/2016 09:06,FALSE,Dun Laoghaire Running,7.51,515,40:19:00,170,185,5,181,192,05:22,04:19,104,121,1.03,0,7.1,256,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,03/08/2016 19:09,FALSE,Dun Laoghaire Running,7.34,513,40:14:00,172,191,4.9,170,178,05:29,04:14,112,111,1.07,0,8,262,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,19/06/2016 13:08,FALSE,Dublin 18 Running,19.6,"1,255",01:59:53,160,186,4,160,255,06:07,03:34,62,270,1.02,0,8.4,293,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,10/06/2016 18:19,FALSE,Dun Laoghaire Running,9.44,701,56:37:00,170,191,4.9,163,226,06:00,03:56,236,179,1.03,0,8.7,280,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,02/06/2016 10:55,FALSE,Dun Laoghaire Running,9.66,648,55:06:00,166,186,4.5,172,244,05:42,00:42,209,207,1.02,0,8.1,253,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,29/05/2016 19:01,FALSE,Dun Laoghaire Running,10.03,622,54:15:00,161,181,4.5,169,186,05:25,02:19,192,193,1.09,0,8.5,265,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,26/05/2016 08:26,FALSE,Dun Laoghaire Running,7.01,464,36:26:00,170,191,5,175,189,05:12,00:54,129,132,1.1,0,7.9,253,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,22/05/2016 16:07,FALSE,Dun Laoghaire Running,8.01,504,41:45:00,166,187,4.9,176,186,05:13,04:03,124,125,1.09,0,7.7,263,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,16/05/2016 16:40,FALSE,Dun Laoghaire Running,8.01,485,43:26:00,158,180,4.1,170,191,05:26,03:18,63,101,1.08,0,8.3,272,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,11/05/2016 18:43,FALSE,Dun Laoghaire Running,8.08,524,44:24:00,167,185,4.9,168,197,05:30,03:38,138,148,1.08,0,8.2,270,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,09/05/2016 07:45,FALSE,Dun Laoghaire Running,7.02,461,38:54:00,167,188,4.4,170,198,05:32,04:38,105,102,1.06,0,8,270,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,17/04/2016 07:20,FALSE,Dun Laoghaire Running,9.26,610,54:03:00,164,187,4.1,169,255,05:50,04:21,208,208,1.01,0,8.2,269,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,10/04/2016 10:58,FALSE,Tibradden,15.09,"1,129",01:52:05,159,184,4.1,146,225,07:26,04:53,491,455,0.92,0,8.2,308,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,07/04/2016 08:26,FALSE,Dun Laoghaire Running,9.63,594,58:32:00,157,185,3.6,167,202,06:05,02:21,231,230,0.98,0,8.2,280,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,31/03/2016 19:06,FALSE,Dun Laoghaire Running,7.95,508,41:47:00,163,184,4,176,255,05:15,04:31,--,37,1.08,0,7.7,260,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,28/03/2016 09:12,FALSE,pet cemetary,14.11,"1,028",01:33:02,160,186,4.1,151,255,06:36,03:56,348,383,1,0,7.7,286,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,25/03/2016 16:41,FALSE,Dun Laoghaire Running,14.01,899,01:16:33,162,178,5,167,214,05:28,04:04,43,46,1.09,0,8.5,278,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,20/03/2016 11:18,FALSE,Dun Laoghaire Running,11.08,729,01:05:34,160,184,4.1,170,234,05:55,02:05,238,239,0.99,0,8.5,267,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,17/03/2016 07:19,FALSE,Dun Laoghaire Running,12,752,01:03:24,167,177,5,176,219,05:17,03:01,28,29,1.07,0,7.7,258,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,13/03/2016 08:37,FALSE,Dun Laoghaire Running,9.24,582,58:18:00,158,190,4.1,164,215,06:19,04:26,196,195,0.97,0,8.7,283,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,11/03/2016 08:06,FALSE,Dun Laoghaire Running,10.98,703,01:06:07,160,185,3.7,163,204,06:01,02:41,174,181,1.02,0,9,280,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,24/02/2016 09:34,FALSE,Dun Laoghaire Running,8.7,528,47:21:00,162,181,3.8,171,197,05:27,03:41,175,173,1.07,0,8.1,265,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,21/02/2016 10:18,FALSE,Crone to Maulin,9.35,759,01:19:36,159,184,4.4,140,255,08:31,02:58,459,463,0.84,0,7.7,348,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,19/02/2016 17:40,FALSE,Dun Laoghaire Running,7.76,474,41:57:00,163,183,4,169,197,05:24,03:30,149,144,1.09,0,7.9,277,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,14/02/2016 10:21,FALSE,Glenview to Sugarloaf,8.99,629,01:11:16,151,176,3.9,133,240,07:55,03:23,215,348,0.95,0,7.5,341,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,13/02/2016 17:29,FALSE,Dun Laoghaire Running,8.58,480,48:15:00,153,180,3.7,168,203,05:37,02:16,118,152,1.06,0,8.6,276,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,10/02/2016 14:58,FALSE,Dun Laoghaire Running,7.83,478,45:00:00,159,176,4.1,164,216,05:45,02:47,115,134,1.06,0,8.8,279,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,07/02/2016 10:13,FALSE,Bray Running,10.94,713,01:16:40,158,185,4.9,145,255,07:00,04:10,790,800,0.98,0,8.6,311,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
trail_running,05/02/2016 11:23,FALSE,Kilkeel Running,8.18,529,49:50:00,162,184,5,160,171,06:06,04:18,92,114,1.03,0,9.4,282,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
cycling,31/01/2016 13:00,FALSE,Bray Cycling,20.05,491,01:00:42,142,176,4,--,--,19.8,52.7,228,281,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
cycling,31/01/2016 11:18,FALSE,Kilkeel Cycling,21.78,699,01:18:36,145,182,5,--,--,16.6,52.2,361,298,0,0,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,30/01/2016 17:54,FALSE,Dun Laoghaire Running,3.67,235,21:04,166,183,0,165,170,05:44,04:16,95,14,1.05,0,8.6,279,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,25/01/2016 18:16,FALSE,Dun Laoghaire Running,6.72,419,39:09:00,163,182,4.7,160,229,05:50,03:34,78,105,1.07,0,8.9,294,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
running,23/01/2016 11:31,FALSE,Dun Laoghaire Running,6.22,497,38:12:00,166,192,5,161,176,06:08,03:46,113,104,1.01,0,8.9,284,--,--,--,--,--,0,--,--,--,--,--,--,--,00:00,0,--,00:00,No,--,--,--,--
